"commit","subject","status","files"
"b4ac8e785b5a2a3730dacbb36c71b74f7dc89dac","Construct BlockDropsEvent with ArrayList (#9925)","needs-review","src/main/java/com/simibubi/create/foundation/utility/BlockHelper.java"
"0513e7ff18fa3eeb54017b4eb663e2df37e11f2c","Truly Client","needs-review","changelog.md;src/main/java/com/simibubi/create/AllPackets.java;src/main/java/com/simibubi/create/content/kinetics/base/KineticBlockEntityVisual.java;src/main/java/com/simibubi/create/content/kinetics/base/RotatingInstance.java;src/main/java/com/simibubi/create/content/kinetics/base/SingleAxisRotatingVisual.java;src/main/java/com/simibubi/create/foundation/events/ClientEvents.java;src/main/java/com/simibubi/create/infrastructure/command/AllCommands.java;src/main/java/com/simibubi/create/infrastructure/command/CameraAngleCommand.java;src/main/java/com/simibubi/create/infrastructure/command/CameraDistanceCommand.java;src/main/java/com/simibubi/create/infrastructure/command/ClearBufferCacheCommand.java;src/main/java/com/simibubi/create/infrastructure/command/CloneCommand.java;src/main/java/com/simibubi/create/infrastructure/command/CouplingCommand.java;src/main/java/com/simibubi/create/infrastructure/command/DebugInfoCommand.java;src/main/java/com/simibubi/create/infrastructure/command/DebugValueCommand.java;src/main/java/com/simibubi/create/infrastructure/command/FabulousWarningCommand.java;src/main/java/com/simibubi/create/infrastructure/command/FixLightingCommand.java;src/main/java/com/simibubi/create/infrastructure/command/HighlightCommand.java;src/main/java/com/simibubi/create/infrastructure/command/HighlightPacket.java;src/main/java/com/simibubi/create/infrastructure/command/KillTPSCommand.java;src/main/java/com/simibubi/create/infrastructure/command/OverlayConfigCommand.java;src/main/java/com/simibubi/create/infrastructure/command/PassengerCommand.java;src/main/java/com/simibubi/create/infrastructure/command/SimpleCreateActions.java;src/main/java/com/simibubi/create/infrastructure/command/ToggleDebugCommand.java;src/main/java/com/simibubi/create/infrastructure/command/TrainCommand.java"
"11c82f6c50ffeca31d1519c9cf0f1408b2aa86a4","With your eyes, not your feet","needs-review","src/main/java/com/simibubi/create/content/redstone/link/controller/LecternControllerBlockEntity.java"
"ad38e0142a5b6f84787bee024c763890de6c7e4b","Fix the count of filtering behaviours being set to 1 when the item has been removed (#9777)","needs-review","src/main/java/com/simibubi/create/foundation/blockEntity/behaviour/filtering/FilteringBehaviour.java"
"82a90b824868d9d0346bb1b99a835518d00cd16b","Fix schedules not stacking after copy (#9886)","needs-review","src/main/java/com/simibubi/create/foundation/recipe/ItemCopyingRecipe.java"
"d2395eefa8224178ffbc64a272005a7477b0c2bc","Slow but Bold","needs-review","src/main/java/com/simibubi/create/content/kinetics/mixer/MechanicalMixerBlockEntity.java"
"23deea6cacaa7cafaabcaf60d49cebfce99ee44c","Adjust slot limits for Chutes, Deployers and Belt segments","needs-review","src/main/java/com/simibubi/create/content/kinetics/belt/transport/ItemHandlerBeltSegment.java;src/main/java/com/simibubi/create/content/kinetics/deployer/DeployerItemHandler.java;src/main/java/com/simibubi/create/content/logistics/chute/ChuteItemHandler.java"
"39f58fa117f0f33f2d7d37b73bdcd4c4ac15a21d","Update license in mods.toml and embed into jar","needs-review","build.gradle;gradle.properties"
"c54810b31ab5335b59788199dc17010c690c7f20","Fix basin fluid particles, fixing #9808 (#9810)","needs-review","src/main/java/com/simibubi/create/content/fluids/particle/BasinFluidParticle.java"
"bc85e4503402bc50f109e87f7ee765003451066d","Fix journeymap causing a crash in dev envs","needs-review","build.gradle"
